row_id,model,persona_correct,failure_category
2,claude-haiku-4-5,0,wrong_value_or_arithmetic
4,claude-haiku-4-5,0,wrong_value_or_arithmetic
6,claude-haiku-4-5,0,wrong_value_or_arithmetic
13,claude-haiku-4-5,0,missing_assumption
14,claude-haiku-4-5,0,wrong_value_or_arithmetic
15,claude-haiku-4-5,0,missing_assumption
18,claude-haiku-4-5,1,none
19,claude-haiku-4-5,0,missing_assumption
20,claude-haiku-4-5,0,missing_assumption
21,claude-haiku-4-5,0,wrong_concept
24,claude-haiku-4-5,0,wrong_concept
25,claude-haiku-4-5,0,wrong_concept
26,claude-haiku-4-5,0,wrong_concept
29,claude-haiku-4-5,1,none
31,claude-haiku-4-5,0,missing_assumption
32,claude-haiku-4-5,0,missing_assumption
34,claude-haiku-4-5,0,missing_assumption
36,claude-haiku-4-5,0,missing_assumption
37,claude-haiku-4-5,0,wrong_concept
38,claude-haiku-4-5,0,missing_assumption
39,claude-haiku-4-5,0,wrong_concept
40,claude-haiku-4-5,0,wrong_value_or_arithmetic
41,claude-haiku-4-5,0,wrong_concept
42,claude-haiku-4-5,0,missing_assumption
43,claude-haiku-4-5,0,wrong_value_or_arithmetic
44,claude-haiku-4-5,0,wrong_concept
45,claude-haiku-4-5,0,wrong_concept
46,claude-haiku-4-5,0,missing_assumption
47,claude-haiku-4-5,0,wrong_value_or_arithmetic
48,claude-haiku-4-5,0,wrong_value_or_arithmetic
49,claude-haiku-4-5,0,wrong_value_or_arithmetic
50,claude-haiku-4-5,0,wrong_value_or_arithmetic
51,claude-haiku-4-5,0,wrong_value_or_arithmetic
52,claude-haiku-4-5,0,wrong_value_or_arithmetic
53,claude-haiku-4-5,0,missing_assumption
54,claude-haiku-4-5,0,missing_assumption
55,claude-haiku-4-5,0,wrong_value_or_arithmetic
58,claude-haiku-4-5,0,wrong_value_or_arithmetic
59,claude-haiku-4-5,0,missing_assumption
60,claude-haiku-4-5,0,missing_assumption
61,claude-haiku-4-5,0,missing_assumption
62,claude-haiku-4-5,0,missing_assumption
63,claude-haiku-4-5,0,missing_assumption
64,claude-haiku-4-5,0,missing_assumption
74,claude-haiku-4-5,0,missing_assumption
79,claude-haiku-4-5,0,missing_assumption
2,claude-opus-4-6,0,missing_assumption
4,claude-opus-4-6,0,missing_assumption
6,claude-opus-4-6,0,missing_assumption
13,claude-opus-4-6,0,missing_assumption
14,claude-opus-4-6,0,wrong_value_or_arithmetic
15,claude-opus-4-6,1,none
18,claude-opus-4-6,1,none
19,claude-opus-4-6,0,missing_assumption
20,claude-opus-4-6,0,missing_assumption
21,claude-opus-4-6,0,missing_assumption
24,claude-opus-4-6,0,missing_assumption
25,claude-opus-4-6,0,wrong_value_or_arithmetic
26,claude-opus-4-6,0,wrong_value_or_arithmetic
29,claude-opus-4-6,1,none
31,claude-opus-4-6,0,missing_assumption
32,claude-opus-4-6,0,missing_assumption
34,claude-opus-4-6,0,missing_assumption
36,claude-opus-4-6,0,missing_assumption
37,claude-opus-4-6,0,wrong_value_or_arithmetic
38,claude-opus-4-6,0,wrong_value_or_arithmetic
39,claude-opus-4-6,0,wrong_value_or_arithmetic
40,claude-opus-4-6,0,wrong_value_or_arithmetic
41,claude-opus-4-6,0,missing_assumption
42,claude-opus-4-6,0,missing_assumption
43,claude-opus-4-6,1,none
44,claude-opus-4-6,0,missing_assumption
45,claude-opus-4-6,0,missing_assumption
46,claude-opus-4-6,0,wrong_value_or_arithmetic
47,claude-opus-4-6,0,missing_assumption
48,claude-opus-4-6,1,none
49,claude-opus-4-6,1,none
50,claude-opus-4-6,1,none
51,claude-opus-4-6,0,wrong_value_or_arithmetic
52,claude-opus-4-6,0,missing_assumption
53,claude-opus-4-6,0,missing_assumption
54,claude-opus-4-6,0,missing_assumption
55,claude-opus-4-6,0,missing_assumption
58,claude-opus-4-6,1,none
59,claude-opus-4-6,0,missing_assumption
60,claude-opus-4-6,0,missing_assumption
61,claude-opus-4-6,0,missing_assumption
62,claude-opus-4-6,0,missing_assumption
63,claude-opus-4-6,0,missing_assumption
64,claude-opus-4-6,0,missing_assumption
74,claude-opus-4-6,0,wrong_value_or_arithmetic
79,claude-opus-4-6,1,none
2,claude-sonnet-4-6,0,missing_assumption
4,claude-sonnet-4-6,0,wrong_value_or_arithmetic
6,claude-sonnet-4-6,0,wrong_value_or_arithmetic
13,claude-sonnet-4-6,0,wrong_value_or_arithmetic
14,claude-sonnet-4-6,0,wrong_value_or_arithmetic
15,claude-sonnet-4-6,1,none
18,claude-sonnet-4-6,1,none
19,claude-sonnet-4-6,0,missing_assumption
20,claude-sonnet-4-6,0,missing_assumption
21,claude-sonnet-4-6,0,wrong_concept
24,claude-sonnet-4-6,0,missing_assumption
25,claude-sonnet-4-6,0,missing_assumption
26,claude-sonnet-4-6,1,none
29,claude-sonnet-4-6,1,none
31,claude-sonnet-4-6,0,missing_assumption
32,claude-sonnet-4-6,0,missing_assumption
34,claude-sonnet-4-6,0,missing_assumption
36,claude-sonnet-4-6,0,wrong_value_or_arithmetic
37,claude-sonnet-4-6,0,wrong_value_or_arithmetic
38,claude-sonnet-4-6,0,wrong_value_or_arithmetic
39,claude-sonnet-4-6,0,wrong_value_or_arithmetic
40,claude-sonnet-4-6,0,missing_assumption
41,claude-sonnet-4-6,0,wrong_value_or_arithmetic
42,claude-sonnet-4-6,0,missing_assumption
43,claude-sonnet-4-6,1,none
44,claude-sonnet-4-6,1,none
45,claude-sonnet-4-6,0,missing_assumption
46,claude-sonnet-4-6,0,missing_assumption
47,claude-sonnet-4-6,0,missing_assumption
48,claude-sonnet-4-6,1,none
49,claude-sonnet-4-6,1,none
50,claude-sonnet-4-6,1,none
51,claude-sonnet-4-6,0,wrong_value_or_arithmetic
52,claude-sonnet-4-6,0,missing_assumption
53,claude-sonnet-4-6,0,wrong_value_or_arithmetic
54,claude-sonnet-4-6,0,missing_assumption
55,claude-sonnet-4-6,0,wrong_value_or_arithmetic
58,claude-sonnet-4-6,1,none
59,claude-sonnet-4-6,0,missing_assumption
60,claude-sonnet-4-6,0,missing_assumption
61,claude-sonnet-4-6,0,missing_assumption
62,claude-sonnet-4-6,0,missing_assumption
63,claude-sonnet-4-6,0,missing_assumption
64,claude-sonnet-4-6,0,missing_assumption
74,claude-sonnet-4-6,0,wrong_value_or_arithmetic
79,claude-sonnet-4-6,0,missing_assumption
