row_id,question_type,variant,variant_text,gold,naive_em_accepts,numeric_match_accepts
0,basic,identity,"$32,095 (in millions)","$32,095 (in millions)",1,1
0,basic,scale_word,"$32,095 million","$32,095 (in millions)",0,1
0,basic,scale_shift_bn,$32.095 billion,"$32,095 (in millions)",0,1
0,basic,suffix,"$32,095M","$32,095 (in millions)",0,1
0,basic,sentence,"The company's figure for the period was $32,095 million.","$32,095 (in millions)",0,1
1,basic,identity,"$11,522 (in millions)","$11,522 (in millions)",1,1
1,basic,scale_word,"$11,522 million","$11,522 (in millions)",0,1
1,basic,scale_shift_bn,$11.522 billion,"$11,522 (in millions)",0,1
1,basic,suffix,"$11,522M","$11,522 (in millions)",0,1
1,basic,sentence,"The company's figure for the period was $11,522 million.","$11,522 (in millions)",0,1
2,assumption,identity,"$11,969 (in millions)","$11,969 (in millions)",1,1
2,assumption,scale_word,"$11,969 million","$11,969 (in millions)",0,1
2,assumption,scale_shift_bn,$11.969 billion,"$11,969 (in millions)",0,1
2,assumption,suffix,"$11,969M","$11,969 (in millions)",0,1
2,assumption,sentence,"The company's figure for the period was $11,969 million.","$11,969 (in millions)",0,1
3,basic,identity,"$9,285 (in millions)","$9,285 (in millions)",1,1
3,basic,scale_word,"$9,285 million","$9,285 (in millions)",0,1
3,basic,scale_shift_bn,$9.285 billion,"$9,285 (in millions)",0,1
3,basic,suffix,"$9,285M","$9,285 (in millions)",0,1
3,basic,sentence,"The company's figure for the period was $9,285 million.","$9,285 (in millions)",0,1
4,assumption,identity,"$9,396 (in millions)","$9,396 (in millions)",1,1
4,assumption,scale_word,"$9,396 million","$9,396 (in millions)",0,1
4,assumption,scale_shift_bn,$9.396 billion,"$9,396 (in millions)",0,1
4,assumption,suffix,"$9,396M","$9,396 (in millions)",0,1
4,assumption,sentence,"The company's figure for the period was $9,396 million.","$9,396 (in millions)",0,1
5,basic,identity,4.53%,4.53%,1,1
5,basic,pct_word,4.53 percent,4.53%,0,1
5,basic,pct_sentence,The figure is approximately 4.53%.,4.53%,0,1
6,assumption,identity,4.70%,4.70%,1,1
6,assumption,pct_word,4.7 percent,4.70%,0,1
6,assumption,pct_sentence,The figure is approximately 4.7%.,4.70%,0,1
7,basic,identity,3.65%,3.65%,1,1
7,basic,pct_word,3.65 percent,3.65%,0,1
7,basic,pct_sentence,The figure is approximately 3.65%.,3.65%,0,1
9,basic,identity,"$9,285 (in millions)","$9,285 (in millions)",1,1
9,basic,scale_word,"$9,285 million","$9,285 (in millions)",0,1
9,basic,scale_shift_bn,$9.285 billion,"$9,285 (in millions)",0,1
9,basic,suffix,"$9,285M","$9,285 (in millions)",0,1
9,basic,sentence,"The company's figure for the period was $9,285 million.","$9,285 (in millions)",0,1
10,basic,identity,56.66x,56.66x,1,1
10,basic,mult_word,56.66 times,56.66x,0,1
10,basic,mult_sentence,The ratio is 56.66x.,56.66x,0,1
11,basic,identity,56.86x,56.86x,1,1
11,basic,mult_word,56.86 times,56.86x,0,1
11,basic,mult_sentence,The ratio is 56.86x.,56.86x,0,1
12,basic,identity,$16.53,$16.53,1,1
12,basic,no_symbols,16.53,$16.53,0,1
12,basic,sentence,The answer is 16.53.,$16.53,0,1
13,assumption,identity,35.44x,35.44x,1,1
13,assumption,mult_word,35.44 times,35.44x,0,1
13,assumption,mult_sentence,The ratio is 35.44x.,35.44x,0,1
14,assumption,identity,"$424,216 (in millions)","$424,216 (in millions)",1,1
14,assumption,scale_word,"$424,216 million","$424,216 (in millions)",0,1
14,assumption,scale_shift_bn,$424.216 billion,"$424,216 (in millions)",0,1
14,assumption,suffix,"$424,216M","$424,216 (in millions)",0,1
14,assumption,sentence,"The company's figure for the period was $424,216 million.","$424,216 (in millions)",0,1
15,assumption,identity,"$414,640 (in millions)","$414,640 (in millions)",1,1
15,assumption,scale_word,"$414,640 million","$414,640 (in millions)",0,1
15,assumption,scale_shift_bn,$414.64 billion,"$414,640 (in millions)",0,1
15,assumption,suffix,"$414,640M","$414,640 (in millions)",0,1
15,assumption,sentence,"The company's figure for the period was $414,640 million.","$414,640 (in millions)",0,1
16,basic,identity,"$418,856 (in millions)","$418,856 (in millions)",1,1
16,basic,scale_word,"$418,856 million","$418,856 (in millions)",0,1
16,basic,scale_shift_bn,$418.856 billion,"$418,856 (in millions)",0,1
16,basic,suffix,"$418,856M","$418,856 (in millions)",0,1
16,basic,sentence,"The company's figure for the period was $418,856 million.","$418,856 (in millions)",0,1
17,basic,identity,9.66%,9.66%,1,1
17,basic,pct_word,9.66 percent,9.66%,0,1
17,basic,pct_sentence,The figure is approximately 9.66%.,9.66%,0,1
18,assumption,identity,9.56%,9.56%,1,1
18,assumption,pct_word,9.56 percent,9.56%,0,1
18,assumption,pct_sentence,The figure is approximately 9.56%.,9.56%,0,1
19,assumption,identity,2.73%,2.73%,1,1
19,assumption,pct_word,2.73 percent,2.73%,0,1
19,assumption,pct_sentence,The figure is approximately 2.73%.,2.73%,0,1
20,assumption,identity,2.65%,2.65%,1,1
20,assumption,pct_word,2.65 percent,2.65%,0,1
20,assumption,pct_sentence,The figure is approximately 2.65%.,2.65%,0,1
21,assumption,identity,97.35%,97.35%,1,1
21,assumption,pct_word,97.35 percent,97.35%,0,1
21,assumption,pct_sentence,The figure is approximately 97.35%.,97.35%,0,1
22,basic,identity,24.40%,24.40%,1,1
22,basic,pct_word,24.4 percent,24.40%,0,1
22,basic,pct_sentence,The figure is approximately 24.4%.,24.40%,0,1
23,basic,identity,24.00%,24.00%,1,1
23,basic,pct_word,24 percent,24.00%,0,1
23,basic,pct_sentence,The figure is approximately 24%.,24.00%,0,1
24,assumption,identity,"$2,255 (in millions)","$2,255 (in millions)",1,1
24,assumption,scale_word,"$2,255 million","$2,255 (in millions)",0,1
24,assumption,scale_shift_bn,$2.255 billion,"$2,255 (in millions)",0,1
24,assumption,suffix,"$2,255M","$2,255 (in millions)",0,1
24,assumption,sentence,"The company's figure for the period was $2,255 million.","$2,255 (in millions)",0,1
25,assumption,identity,"$2,244 (in millions)","$2,244 (in millions)",1,1
25,assumption,scale_word,"$2,244 million","$2,244 (in millions)",0,1
25,assumption,scale_shift_bn,$2.244 billion,"$2,244 (in millions)",0,1
25,assumption,suffix,"$2,244M","$2,244 (in millions)",0,1
25,assumption,sentence,"The company's figure for the period was $2,244 million.","$2,244 (in millions)",0,1
26,assumption,identity,"$2,283 (in millions)","$2,283 (in millions)",1,1
26,assumption,scale_word,"$2,283 million","$2,283 (in millions)",0,1
26,assumption,scale_shift_bn,$2.283 billion,"$2,283 (in millions)",0,1
26,assumption,suffix,"$2,283M","$2,283 (in millions)",0,1
26,assumption,sentence,"The company's figure for the period was $2,283 million.","$2,283 (in millions)",0,1
27,basic,identity,-$535 (in millions),-$535 (in millions),1,1
27,basic,scale_word,$535 million,-$535 (in millions),0,1
27,basic,scale_shift_bn,$0.535 billion,-$535 (in millions),0,1
27,basic,suffix,$535M,-$535 (in millions),0,1
27,basic,sentence,The company's figure for the period was $535 million.,-$535 (in millions),0,1
28,basic,identity,-$574 (in millions),-$574 (in millions),1,1
28,basic,scale_word,$574 million,-$574 (in millions),0,1
28,basic,scale_shift_bn,$0.574 billion,-$574 (in millions),0,1
28,basic,suffix,$574M,-$574 (in millions),0,1
28,basic,sentence,The company's figure for the period was $574 million.,-$574 (in millions),0,1
29,assumption,identity,24.30%,24.30%,1,1
29,assumption,pct_word,24.3 percent,24.30%,0,1
29,assumption,pct_sentence,The figure is approximately 24.3%.,24.30%,0,1
30,basic,identity,"445,592,000","445,592,000",1,1
30,basic,no_symbols,445592000,"445,592,000",0,1
30,basic,sentence,"The answer is 445,592,000.","445,592,000",0,1
31,assumption,identity,0.77,0.77,1,1
31,assumption,no_symbols,0.77,0.77,1,1
31,assumption,sentence,The answer is 0.77.,0.77,0,1
32,assumption,identity,"$11,415 (in millions)","$11,415 (in millions)",1,1
32,assumption,scale_word,"$11,415 million","$11,415 (in millions)",0,1
32,assumption,scale_shift_bn,$11.415 billion,"$11,415 (in millions)",0,1
32,assumption,suffix,"$11,415M","$11,415 (in millions)",0,1
32,assumption,sentence,"The company's figure for the period was $11,415 million.","$11,415 (in millions)",0,1
33,basic,identity,"$11,144 (in millions)","$11,144 (in millions)",1,1
33,basic,scale_word,"$11,144 million","$11,144 (in millions)",0,1
33,basic,scale_shift_bn,$11.144 billion,"$11,144 (in millions)",0,1
33,basic,suffix,"$11,144M","$11,144 (in millions)",0,1
33,basic,sentence,"The company's figure for the period was $11,144 million.","$11,144 (in millions)",0,1
34,assumption,identity,$271 (in millions),$271 (in millions),1,1
34,assumption,scale_word,$271 million,$271 (in millions),0,1
34,assumption,scale_shift_bn,$0.271 billion,$271 (in millions),0,1
34,assumption,suffix,$271M,$271 (in millions),0,1
34,assumption,sentence,The company's figure for the period was $271 million.,$271 (in millions),0,1
35,basic,identity,"$23,622 (in millions)","$23,622 (in millions)",1,1
35,basic,scale_word,"$23,622 million","$23,622 (in millions)",0,1
35,basic,scale_shift_bn,$23.622 billion,"$23,622 (in millions)",0,1
35,basic,suffix,"$23,622M","$23,622 (in millions)",0,1
35,basic,sentence,"The company's figure for the period was $23,622 million.","$23,622 (in millions)",0,1
36,assumption,identity,25.33%,25.33%,1,1
36,assumption,pct_word,25.33 percent,25.33%,0,1
36,assumption,pct_sentence,The figure is approximately 25.33%.,25.33%,0,1
37,assumption,identity,"$29,239 (in millions)","$29,239 (in millions)",1,1
37,assumption,scale_word,"$29,239 million","$29,239 (in millions)",0,1
37,assumption,scale_shift_bn,$29.239 billion,"$29,239 (in millions)",0,1
37,assumption,suffix,"$29,239M","$29,239 (in millions)",0,1
37,assumption,sentence,"The company's figure for the period was $29,239 million.","$29,239 (in millions)",0,1
38,assumption,identity,"$28,245 (in millions)","$28,245 (in millions)",1,1
38,assumption,scale_word,"$28,245 million","$28,245 (in millions)",0,1
38,assumption,scale_shift_bn,$28.245 billion,"$28,245 (in millions)",0,1
38,assumption,suffix,"$28,245M","$28,245 (in millions)",0,1
38,assumption,sentence,"The company's figure for the period was $28,245 million.","$28,245 (in millions)",0,1
39,assumption,identity,"$26,915 (in millions)","$26,915 (in millions)",1,1
39,assumption,scale_word,"$26,915 million","$26,915 (in millions)",0,1
39,assumption,scale_shift_bn,$26.915 billion,"$26,915 (in millions)",0,1
39,assumption,suffix,"$26,915M","$26,915 (in millions)",0,1
39,assumption,sentence,"The company's figure for the period was $26,915 million.","$26,915 (in millions)",0,1
40,assumption,identity,"$28,077 (in millions)","$28,077 (in millions)",1,1
40,assumption,scale_word,"$28,077 million","$28,077 (in millions)",0,1
40,assumption,scale_shift_bn,$28.077 billion,"$28,077 (in millions)",0,1
40,assumption,suffix,"$28,077M","$28,077 (in millions)",0,1
40,assumption,sentence,"The company's figure for the period was $28,077 million.","$28,077 (in millions)",0,1
41,assumption,identity,"$36,539 (in millions)","$36,539 (in millions)",1,1
41,assumption,scale_word,"$36,539 million","$36,539 (in millions)",0,1
41,assumption,scale_shift_bn,$36.539 billion,"$36,539 (in millions)",0,1
41,assumption,suffix,"$36,539M","$36,539 (in millions)",0,1
41,assumption,sentence,"The company's figure for the period was $36,539 million.","$36,539 (in millions)",0,1
42,assumption,identity,"$34,029 (in millions)","$34,029 (in millions)",1,1
42,assumption,scale_word,"$34,029 million","$34,029 (in millions)",0,1
42,assumption,scale_shift_bn,$34.029 billion,"$34,029 (in millions)",0,1
42,assumption,suffix,"$34,029M","$34,029 (in millions)",0,1
42,assumption,sentence,"The company's figure for the period was $34,029 million.","$34,029 (in millions)",0,1
